building,floor,site,tile,tessellation_type,coord_a_x,coord_a_y,coord_b_x,coord_b_y,coord_c_x,coord_c_y,coord_d_x,coord_d_y
11,1,NULL,tile_178,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,1,NULL,tile_192,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,1,NULL,tile_197,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,1,NULL,tile_199,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,1,NULL,tile_224,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,1,NULL,tile_220,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,1,NULL,tile_219,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,1,NULL,tile_211,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,1,NULL,tile_196,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,1,NULL,tile_207,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,1,NULL,tile_171,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,1,NULL,tile_180,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,1,NULL,tile_167,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,1,NULL,tile_175,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,1,NULL,tile_185,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,1,NULL,tile_156,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,1,NULL,tile_141,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,1,NULL,tile_149,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,1,NULL,tile_166,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,1,NULL,tile_177,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,1,NULL,tile_190,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,1,NULL,tile_183,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
