fingerprint_id,coord_x,coord_y,coord_z,building,floor,site,tile,user_id,device_id,epoch,set,is_radio_map,preceded_by,followed_by,notes
0,80.29941129244212,72.42834551267106,NULL,11,1,NULL,crowd_tile_1,1,1,1462269732,training,True,NULL,1,NULL
1,79.22088865177254,73.90295825495974,NULL,11,1,NULL,crowd_tile_1,1,1,1462269747,training,True,0,2,NULL
2,72.53384304546995,74.3950741980156,NULL,11,1,NULL,crowd_tile_1,1,1,1462269759,training,True,1,3,NULL
3,70.75352458626881,73.52663503853162,NULL,11,1,NULL,crowd_tile_1,1,1,1462269764,training,True,2,4,NULL
4,67.55474238743523,71.32659104158489,NULL,11,1,NULL,crowd_tile_1,1,1,1462269776,training,True,3,5,NULL
5,70.2758528979262,67.17255929653398,NULL,11,1,NULL,crowd_tile_1,1,1,1462269797,training,True,4,6,NULL
6,72.14300943588147,64.26328625921761,NULL,11,1,NULL,crowd_tile_1,1,1,1462269803,training,True,5,7,NULL
7,74.74835223149779,60.74610521993064,NULL,11,1,NULL,crowd_tile_1,1,1,1462269810,training,True,6,8,NULL
8,76.99184047453446,58.85001010966961,NULL,11,1,NULL,crowd_tile_1,1,1,1462269820,training,True,7,9,NULL
9,78.23661563897353,56.17231840969572,NULL,11,1,NULL,crowd_tile_1,1,1,1462269827,training,True,8,10,NULL
10,79.61166042265319,58.227624528883524,NULL,11,1,NULL,crowd_tile_1,1,1,1462269838,training,True,9,11,NULL
11,78.13530032461378,60.963214315210344,NULL,11,1,NULL,crowd_tile_1,1,1,1462269849,training,True,10,12,NULL
12,79.56824129997851,62.70009408136134,NULL,11,1,NULL,crowd_tile_1,1,1,1462269855,training,True,11,13,NULL
13,81.95646398017784,64.39355322821783,NULL,11,1,NULL,crowd_tile_1,1,1,1462269866,training,True,12,14,NULL
14,84.4604914614251,66.0725364641267,NULL,11,1,NULL,crowd_tile_1,1,1,1462269877,training,True,13,15,NULL
15,87.32637341227907,67.62125395399697,NULL,11,1,NULL,crowd_tile_1,1,1,1462269888,training,True,14,16,NULL
16,88.99089932110594,65.40673271138397,NULL,11,1,NULL,crowd_tile_1,1,1,1462269894,training,True,15,17,NULL
17,85.98027059890377,63.68432752358388,NULL,11,1,NULL,crowd_tile_1,1,1,1462269901,training,True,16,18,NULL
18,83.24467060173792,61.62901840180957,NULL,11,1,NULL,crowd_tile_1,1,1,1462269911,training,True,17,19,NULL
19,79.7419300417618,57.02628421520506,NULL,11,1,NULL,crowd_tile_1,1,1,1462269922,training,True,18,20,NULL
20,80.71171348437292,53.277513388893965,NULL,11,1,NULL,crowd_tile_1,1,1,1462269964,training,True,19,21,NULL
21,79.00375611841706,50.41165807862802,NULL,11,1,NULL,crowd_tile_1,1,1,1462269972,training,True,20,22,NULL
22,77.81687722889501,48.26950293958986,NULL,11,1,NULL,crowd_tile_1,1,1,1462269981,training,True,21,23,NULL
23,76.23920181649481,46.70630575742274,NULL,11,1,NULL,crowd_tile_1,1,1,1462269988,training,True,22,24,NULL
24,75.28390786057274,45.172059174896525,NULL,11,1,NULL,crowd_tile_1,1,1,1462270007,training,True,23,25,NULL
25,76.32605239616045,43.73913007434882,NULL,11,1,NULL,crowd_tile_1,1,1,1462270013,training,True,24,26,NULL
26,77.39713881894896,42.56673224377883,NULL,11,1,NULL,crowd_tile_1,1,1,1462270019,training,True,25,27,NULL
27,78.98930371803912,43.66676019083937,NULL,11,1,NULL,crowd_tile_1,1,1,1462270027,training,True,26,28,NULL
28,80.98672987522956,44.88257986295818,NULL,11,1,NULL,crowd_tile_1,1,1,1462270035,training,True,27,29,NULL
29,83.1289028036363,46.4747223073062,NULL,11,1,NULL,crowd_tile_1,1,1,1462270046,training,True,28,30,NULL
30,84.74999725560781,47.38658820089281,NULL,11,1,NULL,crowd_tile_1,1,1,1462270054,training,True,29,31,NULL
31,83.99734626298915,49.21031342835171,NULL,11,1,NULL,crowd_tile_1,1,1,1462270059,training,True,30,32,NULL
32,81.9709658011847,49.499795742876536,NULL,11,1,NULL,crowd_tile_1,1,1,1462270068,training,True,31,33,NULL
33,80.11828641587569,48.414242595559045,NULL,11,1,NULL,crowd_tile_1,1,1,1462270074,training,True,32,34,NULL
34,77.91821729551634,47.053683933769406,NULL,11,1,NULL,crowd_tile_1,1,1,1462270080,training,True,33,35,NULL
35,75.2694553770957,47.270793362905636,NULL,11,1,NULL,crowd_tile_1,1,1,1462270095,training,True,34,36,NULL
36,73.01148998155061,46.80762657513693,NULL,11,1,NULL,crowd_tile_1,1,1,1462270111,training,True,35,37,NULL
37,70.94169048055973,44.94047572548732,NULL,11,1,NULL,crowd_tile_1,1,1,1462270119,training,True,36,38,NULL
38,69.0455796379872,43.39175167519538,NULL,11,1,NULL,crowd_tile_1,1,1,1462270123,training,True,37,39,NULL
39,67.12051449053186,43.33385581266624,NULL,11,1,NULL,crowd_tile_1,1,1,1462270131,training,True,38,40,NULL
40,68.00343510239684,44.75231100328336,NULL,11,1,NULL,crowd_tile_1,1,1,1462270139,training,True,39,41,NULL
41,68.07580844645662,46.619461963275384,NULL,11,1,NULL,crowd_tile_1,1,1,1462270151,training,True,40,42,NULL
42,66.52706266990272,48.906360317532474,NULL,11,1,NULL,crowd_tile_1,1,1,1462270159,training,True,41,43,NULL
43,65.16648270427514,51.20773191329986,NULL,11,1,NULL,crowd_tile_1,1,1,1462270168,training,True,42,44,NULL
44,64.00855803613237,52.35118036789788,NULL,11,1,NULL,crowd_tile_1,1,1,1462270174,training,True,43,45,NULL
45,62.3006006700342,51.23668596043353,NULL,11,1,NULL,crowd_tile_1,1,1,1462270183,training,True,44,46,NULL
46,63.00983262321528,49.34058829249221,NULL,11,1,NULL,crowd_tile_1,1,1,1462270193,training,True,45,47,NULL
47,64.26908494016736,47.603703745544465,NULL,11,1,NULL,crowd_tile_1,1,1,1462270200,training,True,46,48,NULL
48,65.03621308490078,45.881292775378114,NULL,11,1,NULL,crowd_tile_1,1,1,1462270207,training,True,47,49,NULL
49,65.83229553464818,44.289150219980364,NULL,11,1,NULL,crowd_tile_1,1,1,1462270214,training,True,48,50,NULL
50,65.84676035270654,41.65487502338794,NULL,11,1,NULL,crowd_tile_1,1,1,1462270225,training,True,49,51,NULL
51,64.05197715893982,40.337737091235226,NULL,11,1,NULL,crowd_tile_1,1,1,1462270233,training,True,50,52,NULL
52,61.880849925504684,38.78901515371735,NULL,11,1,NULL,crowd_tile_1,1,1,1462270240,training,True,51,53,NULL
53,59.62289686453106,37.529772639894865,NULL,11,1,NULL,crowd_tile_1,1,1,1462270248,training,True,52,54,NULL
54,61.77953461114438,37.00870609719809,NULL,11,1,NULL,crowd_tile_1,1,1,1462270256,training,True,53,55,NULL
55,64.32698113185266,37.761356312110856,NULL,11,1,NULL,crowd_tile_1,1,1,1462270268,training,True,54,56,NULL
56,65.84676035270654,36.83502140114747,NULL,11,1,NULL,crowd_tile_1,1,1,1462270278,training,True,55,57,NULL
57,67.01917442404265,35.21392880135743,NULL,11,1,NULL,crowd_tile_1,1,1,1462270285,training,True,56,58,NULL
58,65.5572791439226,34.31653537193302,NULL,11,1,NULL,crowd_tile_1,1,1,1462270292,training,True,57,59,NULL
59,63.791437920456104,33.20203507176002,NULL,11,1,NULL,crowd_tile_1,1,1,1462270302,training,True,58,60,NULL
60,62.22823966029048,32.2612224695168,NULL,11,1,NULL,crowd_tile_1,1,1,1462270308,training,True,59,61,NULL
61,62.38745124983279,34.89550111218731,NULL,11,1,NULL,crowd_tile_1,1,1,1462270320,training,True,60,62,NULL
62,61.5190077071092,36.87844646667492,NULL,11,1,NULL,crowd_tile_1,1,1,1462270325,training,True,61,63,NULL
63,59.043922196142596,35.6626255715945,NULL,11,1,NULL,crowd_tile_1,1,1,1462270332,training,True,62,64,NULL
64,55.5411940539511,34.67838823768032,NULL,11,1,NULL,crowd_tile_1,1,1,1462270341,training,True,63,65,NULL
65,53.19637807885851,32.72439025885499,NULL,11,1,NULL,crowd_tile_1,1,1,1462270351,training,True,64,66,NULL
66,50.90945846204581,31.595418828531123,NULL,11,1,NULL,crowd_tile_1,1,1,1462270358,training,True,65,67,NULL
67,49.14362957302091,31.30593884887978,NULL,11,1,NULL,crowd_tile_1,1,1,1462270369,training,True,66,68,NULL
68,50.06996922406875,32.59412740364587,NULL,11,1,NULL,crowd_tile_1,1,1,1462270375,training,True,67,69,NULL
69,51.05420523366273,33.549417028748586,NULL,11,1,NULL,crowd_tile_1,1,1,1462270380,training,True,68,70,NULL
70,50.05549207182668,35.19945789330603,NULL,11,1,NULL,crowd_tile_1,1,1,1462270388,training,True,69,71,NULL
71,48.72387874525829,37.081082207272686,NULL,11,1,NULL,crowd_tile_1,1,1,1462270394,training,True,70,72,NULL
72,47.30541492212221,38.716648383844145,NULL,11,1,NULL,crowd_tile_1,1,1,1462270401,training,True,71,73,NULL
73,46.36459811869915,40.20747434778315,NULL,11,1,NULL,crowd_tile_1,1,1,1462270407,training,True,72,74,NULL
74,44.888225602964724,39.32455860822392,NULL,11,1,NULL,crowd_tile_1,1,1,1462270412,training,True,73,75,NULL
75,43.46976794691924,38.137685978618215,NULL,11,1,NULL,crowd_tile_1,1,1,1462270418,training,True,74,76,NULL
76,41.90656351965372,37.26924403864717,NULL,11,1,NULL,crowd_tile_1,1,1,1462270423,training,True,75,77,NULL
77,43.1079133942059,35.99552716998788,NULL,11,1,NULL,crowd_tile_1,1,1,1462270428,training,True,76,78,NULL
78,43.96188595178327,34.25863939835417,NULL,11,1,NULL,crowd_tile_1,1,1,1462270434,training,True,77,79,NULL
79,45.87247394674356,35.850784288625434,NULL,11,1,NULL,crowd_tile_1,1,1,1462270444,training,True,78,80,NULL
80,46.88566417772358,34.432327319090746,NULL,11,1,NULL,crowd_tile_1,1,1,1462270449,training,True,79,81,NULL
