building,floor,site,tile,tessellation_type,coord_a_x,coord_a_y,coord_b_x,coord_b_y,coord_c_x,coord_c_y,coord_d_x,coord_d_y
80,0,NULL,0,logical,38.886225550993,-7.006846843305,NULL,NULL,NULL,NULL,NULL,NULL
80,0,NULL,1,logical,38.886230704147,-7.006796235068,NULL,NULL,NULL,NULL,NULL,NULL
80,0,NULL,2,logical,38.886257188367,-7.007254264511,NULL,NULL,NULL,NULL,NULL,NULL
80,0,NULL,3,logical,38.886278542427,-7.007018988466,NULL,NULL,NULL,NULL,NULL,NULL
80,0,NULL,4,logical,38.886281323786,-7.006856203057,NULL,NULL,NULL,NULL,NULL,NULL
80,0,NULL,5,logical,38.886286449973,-7.006805647101,NULL,NULL,NULL,NULL,NULL,NULL
80,0,NULL,6,logical,38.886297050993,-7.006819311975,NULL,NULL,NULL,NULL,NULL,NULL
80,0,NULL,7,logical,38.886314849441,-7.007025619961,NULL,NULL,NULL,NULL,NULL,NULL
80,0,NULL,8,logical,38.886334846136,-7.00682601002,NULL,NULL,NULL,NULL,NULL,NULL
80,1,NULL,9,logical,38.885730545313,-7.008075928819,NULL,NULL,NULL,NULL,NULL,NULL
80,1,NULL,10,logical,38.885788491904,-7.007503615252,NULL,NULL,NULL,NULL,NULL,NULL
80,1,NULL,11,logical,38.88604475555,-7.008130947422,NULL,NULL,NULL,NULL,NULL,NULL
80,1,NULL,12,logical,38.886102007481,-7.007557595663,NULL,NULL,NULL,NULL,NULL,NULL
80,1,NULL,13,logical,38.886168506003,-7.007391384636,NULL,NULL,NULL,NULL,NULL,NULL
80,1,NULL,14,logical,38.886181560768,-7.007970377686,NULL,NULL,NULL,NULL,NULL,NULL
80,1,NULL,15,logical,38.886184462061,-7.007938828219,NULL,NULL,NULL,NULL,NULL,NULL
80,1,NULL,16,logical,38.886185613591,-7.00739416171,NULL,NULL,NULL,NULL,NULL,NULL
80,1,NULL,17,logical,38.886190688011,-7.007173908056,NULL,NULL,NULL,NULL,NULL,NULL
80,1,NULL,18,logical,38.886191703121,-7.007447026667,NULL,NULL,NULL,NULL,NULL,NULL
80,1,NULL,19,logical,38.886194798301,-7.007416680937,NULL,NULL,NULL,NULL,NULL,NULL
80,1,NULL,20,logical,38.886201192818,-7.007085648237,NULL,NULL,NULL,NULL,NULL,NULL
80,1,NULL,21,logical,38.886202309719,-7.007396871991,NULL,NULL,NULL,NULL,NULL,NULL
80,1,NULL,22,logical,38.886205462399,-7.007736041601,NULL,NULL,NULL,NULL,NULL,NULL
80,1,NULL,23,logical,38.886205864085,-7.00703985026,NULL,NULL,NULL,NULL,NULL,NULL
80,1,NULL,24,logical,38.886207762864,-7.007158288257,NULL,NULL,NULL,NULL,NULL,NULL
80,1,NULL,25,logical,38.886207795599,-7.00717668513,NULL,NULL,NULL,NULL,NULL,NULL
80,1,NULL,26,logical,38.886208153866,-7.007017400813,NULL,NULL,NULL,NULL,NULL,NULL
80,1,NULL,27,logical,38.88621071829,-7.006992258719,NULL,NULL,NULL,NULL,NULL,NULL
80,1,NULL,28,logical,38.886211502364,-7.0071216435,NULL,NULL,NULL,NULL,NULL,NULL
80,1,NULL,29,logical,38.886213484819,-7.006961222681,NULL,NULL,NULL,NULL,NULL,NULL
80,1,NULL,30,logical,38.886216780594,-7.006932822755,NULL,NULL,NULL,NULL,NULL,NULL
80,1,NULL,31,logical,38.886220926327,-7.006892179006,NULL,NULL,NULL,NULL,NULL,NULL
80,1,NULL,32,logical,38.886221297333,-7.007944314471,NULL,NULL,NULL,NULL,NULL,NULL
80,1,NULL,33,logical,38.886224491457,-7.007179395367,NULL,NULL,NULL,NULL,NULL,NULL
80,1,NULL,34,logical,38.886236845126,-7.007454354994,NULL,NULL,NULL,NULL,NULL,NULL
80,1,NULL,35,logical,38.886239940592,-7.007424008882,NULL,NULL,NULL,NULL,NULL,NULL
80,1,NULL,36,logical,38.886242021952,-7.007162350017,NULL,NULL,NULL,NULL,NULL,NULL
80,1,NULL,37,logical,38.886242156988,-7.007741998231,NULL,NULL,NULL,NULL,NULL,NULL
80,1,NULL,38,logical,38.886245361459,-7.007127647085,NULL,NULL,NULL,NULL,NULL,NULL
80,1,NULL,39,logical,38.886252306351,-7.007276099765,NULL,NULL,NULL,NULL,NULL,NULL
80,1,NULL,40,logical,38.886257116311,-7.007094726293,NULL,NULL,NULL,NULL,NULL,NULL
80,1,NULL,41,logical,38.886261780966,-7.007048940034,NULL,NULL,NULL,NULL,NULL,NULL
80,1,NULL,42,logical,38.886264054072,-7.007026522002,NULL,NULL,NULL,NULL,NULL,NULL
80,1,NULL,43,logical,38.886266616354,-7.007001833788,NULL,NULL,NULL,NULL,NULL,NULL
80,1,NULL,44,logical,38.886269676185,-7.00697107509,NULL,NULL,NULL,NULL,NULL,NULL
80,1,NULL,45,logical,38.886272617974,-7.006942062304,NULL,NULL,NULL,NULL,NULL,NULL
80,1,NULL,46,logical,38.886276733337,-7.006901475402,NULL,NULL,NULL,NULL,NULL,NULL
80,1,NULL,47,logical,38.886297050993,-7.006819311975,NULL,NULL,NULL,NULL,NULL,NULL
80,1,NULL,48,logical,38.886312963794,-7.007964895876,NULL,NULL,NULL,NULL,NULL,NULL
80,1,NULL,49,logical,38.886335004051,-7.007757070087,NULL,NULL,NULL,NULL,NULL,NULL
80,1,NULL,50,logical,38.886363915631,-7.007444490583,NULL,NULL,NULL,NULL,NULL,NULL
