building,floor,site,tile,tessellation_type,coord_a_x,coord_a_y,coord_b_x,coord_b_y,coord_c_x,coord_c_y,coord_d_x,coord_d_y
library,3,main_room,tile_23,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
library,3,main_room,tile_15,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
library,3,main_room,tile_7,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
library,3,main_room,tile_22,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
library,3,main_room,tile_14,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
library,3,main_room,tile_6,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
library,3,main_room,tile_21,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
library,3,main_room,tile_13,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
library,3,main_room,tile_5,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
library,3,main_room,tile_20,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
library,3,main_room,tile_12,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
library,3,main_room,tile_4,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
library,3,main_room,tile_19,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
library,3,main_room,tile_11,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
library,3,main_room,tile_3,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
library,3,main_room,tile_18,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
library,3,main_room,tile_10,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
library,3,main_room,tile_2,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
library,3,main_room,tile_17,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
library,3,main_room,tile_9,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
library,3,main_room,tile_1,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
library,3,main_room,tile_16,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
library,3,main_room,tile_8,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
library,3,main_room,tile_0,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
library,5,main_room,tile_23,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
library,5,main_room,tile_15,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
library,5,main_room,tile_7,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
library,5,main_room,tile_22,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
library,5,main_room,tile_14,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
library,5,main_room,tile_6,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
library,5,main_room,tile_21,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
library,5,main_room,tile_13,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
library,5,main_room,tile_5,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
library,5,main_room,tile_20,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
library,5,main_room,tile_12,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
library,5,main_room,tile_4,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
library,5,main_room,tile_19,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
library,5,main_room,tile_11,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
library,5,main_room,tile_3,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
library,5,main_room,tile_18,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
library,5,main_room,tile_10,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
library,5,main_room,tile_2,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
library,5,main_room,tile_17,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
library,5,main_room,tile_9,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
library,5,main_room,tile_1,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
library,5,main_room,tile_16,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
library,5,main_room,tile_8,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
library,5,main_room,tile_0,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
