fingerprint_id,coord_x,coord_y,coord_z,building,floor,site,tile,user_id,device_id,epoch,set,is_radio_map,preceded_by,followed_by,notes
0,12.90445788,29.20753202,NULL,library,3,main_room,tile_23,1,1,NULL,training,True,NULL,NULL,NULL
1,12.90445788,29.20753202,NULL,library,3,main_room,tile_23,1,1,NULL,training,True,NULL,NULL,NULL
2,12.90445788,29.20753202,NULL,library,3,main_room,tile_23,1,1,NULL,training,True,NULL,NULL,NULL
3,12.90445788,29.20753202,NULL,library,3,main_room,tile_23,1,1,NULL,training,True,NULL,NULL,NULL
4,12.90445788,29.20753202,NULL,library,3,main_room,tile_23,1,1,NULL,training,True,NULL,NULL,NULL
5,12.90445788,29.20753202,NULL,library,3,main_room,tile_23,1,1,NULL,training,True,NULL,NULL,NULL
6,8.51491789,29.20753202,NULL,library,3,main_room,tile_15,1,1,NULL,training,True,NULL,NULL,NULL
7,8.51491789,29.20753202,NULL,library,3,main_room,tile_15,1,1,NULL,training,True,NULL,NULL,NULL
8,8.51491789,29.20753202,NULL,library,3,main_room,tile_15,1,1,NULL,training,True,NULL,NULL,NULL
9,8.51491789,29.20753202,NULL,library,3,main_room,tile_15,1,1,NULL,training,True,NULL,NULL,NULL
10,8.51491789,29.20753202,NULL,library,3,main_room,tile_15,1,1,NULL,training,True,NULL,NULL,NULL
11,8.51491789,29.20753202,NULL,library,3,main_room,tile_15,1,1,NULL,training,True,NULL,NULL,NULL
12,4.1253779,29.20753202,NULL,library,3,main_room,tile_7,1,1,NULL,training,True,NULL,NULL,NULL
13,4.1253779,29.20753202,NULL,library,3,main_room,tile_7,1,1,NULL,training,True,NULL,NULL,NULL
14,4.1253779,29.20753202,NULL,library,3,main_room,tile_7,1,1,NULL,training,True,NULL,NULL,NULL
15,4.1253779,29.20753202,NULL,library,3,main_room,tile_7,1,1,NULL,training,True,NULL,NULL,NULL
16,4.1253779,29.20753202,NULL,library,3,main_room,tile_7,1,1,NULL,training,True,NULL,NULL,NULL
17,4.1253779,29.20753202,NULL,library,3,main_room,tile_7,1,1,NULL,training,True,NULL,NULL,NULL
18,12.90445788,27.41942792,NULL,library,3,main_room,tile_22,1,1,NULL,training,True,NULL,NULL,NULL
