tile_1_building,tile_1_floor,tile_1_site,tile_1_tile,tile_2_building,tile_2_floor,tile_2_site,tile_2_tile,walkable,cost
laboratory,0,NULL,0_0,laboratory,0,NULL,0_1,1,NULL
laboratory,0,NULL,0_0,laboratory,0,NULL,1_0,1,NULL
laboratory,0,NULL,0_0,laboratory,0,NULL,1_1,1,NULL
laboratory,0,NULL,0_1,laboratory,0,NULL,0_0,1,NULL
laboratory,0,NULL,0_1,laboratory,0,NULL,0_2,1,NULL
laboratory,0,NULL,0_1,laboratory,0,NULL,1_0,1,NULL
laboratory,0,NULL,0_1,laboratory,0,NULL,1_1,1,NULL
laboratory,0,NULL,0_1,laboratory,0,NULL,1_2,1,NULL
laboratory,0,NULL,0_2,laboratory,0,NULL,0_1,1,NULL
laboratory,0,NULL,0_2,laboratory,0,NULL,0_3,1,NULL
laboratory,0,NULL,0_2,laboratory,0,NULL,1_1,1,NULL
laboratory,0,NULL,0_2,laboratory,0,NULL,1_2,1,NULL
laboratory,0,NULL,0_2,laboratory,0,NULL,1_3,1,NULL
laboratory,0,NULL,0_3,laboratory,0,NULL,0_2,1,NULL
laboratory,0,NULL,0_3,laboratory,0,NULL,0_4,1,NULL
laboratory,0,NULL,0_3,laboratory,0,NULL,1_2,1,NULL
laboratory,0,NULL,0_3,laboratory,0,NULL,1_3,1,NULL
laboratory,0,NULL,0_3,laboratory,0,NULL,1_4,1,NULL
laboratory,0,NULL,0_4,laboratory,0,NULL,0_3,1,NULL
laboratory,0,NULL,0_4,laboratory,0,NULL,0_5,1,NULL
laboratory,0,NULL,0_4,laboratory,0,NULL,1_3,1,NULL
laboratory,0,NULL,0_4,laboratory,0,NULL,1_4,1,NULL
laboratory,0,NULL,0_4,laboratory,0,NULL,1_5,1,NULL
laboratory,0,NULL,0_5,laboratory,0,NULL,0_4,1,NULL
laboratory,0,NULL,0_5,laboratory,0,NULL,0_6,1,NULL
laboratory,0,NULL,0_5,laboratory,0,NULL,1_4,1,NULL
laboratory,0,NULL,0_5,laboratory,0,NULL,1_5,1,NULL
laboratory,0,NULL,0_5,laboratory,0,NULL,1_6,1,NULL
laboratory,0,NULL,0_6,laboratory,0,NULL,0_5,1,NULL
laboratory,0,NULL,0_6,laboratory,0,NULL,0_7,1,NULL
laboratory,0,NULL,0_6,laboratory,0,NULL,1_5,1,NULL
laboratory,0,NULL,0_6,laboratory,0,NULL,1_6,1,NULL
laboratory,0,NULL,0_6,laboratory,0,NULL,1_7,1,NULL
laboratory,0,NULL,0_7,laboratory,0,NULL,0_6,1,NULL
laboratory,0,NULL,0_7,laboratory,0,NULL,0_8,1,NULL
laboratory,0,NULL,0_7,laboratory,0,NULL,1_6,1,NULL
laboratory,0,NULL,0_7,laboratory,0,NULL,1_7,1,NULL
laboratory,0,NULL,0_7,laboratory,0,NULL,1_8,1,NULL
laboratory,0,NULL,0_8,laboratory,0,NULL,0_7,1,NULL
laboratory,0,NULL,0_8,laboratory,0,NULL,0_9,1,NULL
laboratory,0,NULL,0_8,laboratory,0,NULL,1_7,1,NULL
laboratory,0,NULL,0_8,laboratory,0,NULL,1_8,1,NULL
laboratory,0,NULL,0_8,laboratory,0,NULL,1_9,1,NULL
laboratory,0,NULL,0_9,laboratory,0,NULL,0_8,1,NULL
laboratory,0,NULL,0_9,laboratory,0,NULL,0_10,1,NULL
laboratory,0,NULL,0_9,laboratory,0,NULL,1_8,1,NULL
laboratory,0,NULL,0_9,laboratory,0,NULL,1_9,1,NULL
laboratory,0,NULL,0_9,laboratory,0,NULL,1_10,1,NULL
laboratory,0,NULL,0_10,laboratory,0,NULL,0_9,1,NULL
laboratory,0,NULL,0_10,laboratory,0,NULL,0_11,1,NULL
laboratory,0,NULL,0_10,laboratory,0,NULL,1_9,1,NULL
laboratory,0,NULL,0_10,laboratory,0,NULL,1_10,1,NULL
laboratory,0,NULL,0_10,laboratory,0,NULL,1_11,1,NULL
