fingerprint_id,AP-WAP000-NULL,AP-WAP001-NULL,AP-WAP002-NULL,AP-WAP003-NULL,AP-WAP004-NULL,AP-WAP005-NULL,AP-WAP006-NULL,AP-WAP007-NULL
0,-54,-63,-69,-76,-67,-66,-69,-75
1,-56,-64,-69,-71,-63,-68,-75,-74
2,-61,-65,-72,-71,-64,-68,-71,-75
3,-55,-65,-70,-67,-67,-66,-73,-76
4,-58,-65,-73,-76,-66,-68,-72,-77
5,-55,-63,-71,-74,-65,-67,-69,-75
6,-54,-67,-71,-74,-67,-66,-72,-73
7,-56,-67,-70,-72,-61,-63,-69,-75
8,-60,-66,-74,-76,-64,-64,-68,-76
9,-61,-66,-69,-74,-63,-65,-74,-73
10,-56,-63,-71,-73,-63,-64,-68,-75
11,-61,-70,-71,-70,-58,-65,-67,-71
12,-63,-66,-73,-71,-59,-64,-75,-73
13,-61,-66,-72,-73,-60,-65,-69,-73
14,-60,-68,-71,-69,-57,-66,-71,-69
15,-62,-64,-75,-73,-63,-64,-71,-71
16,-65,-71,-69,-74,-58,-64,-71,-75
17,-67,-66,-70,-72,-55,-63,-69,-73
18,-65,-70,-70,-74,-59,-65,-69,-72
19,-62,-70,-71,-76,-54,-64,-69,-75
20,-65,-69,-72,-72,-54,-65,-67,-75
21,-51,-66,-70,-70,-67,-69,-72,-76
22,-55,-65,-69,-75,-69,-67,-68,-76
23,-52,-61,-74,-71,-61,-69,-71,-73
24,-54,-64,-71,-71,-64,-69,-70,-73
25,-56,-64,-69,-73,-66,-61,-71,-76
26,-55,-69,-72,-70,-66,-68,-71,-75
27,-58,-64,-71,-71,-64,-69,-73,-74
28,-56,-66,-69,-75,-61,-69,-72,-73
29,-62,-63,-65,-73,-68,-64,-70,-74
30,-59,-65,-70,-74,-58,-64,-70,-71
31,-55,-65,-73,-75,-59,-63,-71,-69
32,-60,-68,-68,-74,-64,-63,-73,-73
33,-60,-67,-69,-76,-63,-64,-68,-73
34,-62,-69,-70,-71,-57,-64,-69,-75
35,-66,-67,-74,-72,-58,-61,-72,-73
36,-63,-65,-72,-73,-56,-65,-64,-74
37,-64,-66,-69,-74,-61,-66,-73,-72
38,-65,-70,-66,-76,-53,-68,-70,-72
39,-67,-63,-73,-73,-57,-67,-68,-77
40,-69,-69,-70,-74,-57,-68,-69,-74
41,-64,-69,-71,-76,-55,-63,-67,-73
42,-53,-61,-69,-71,-64,-70,-68,-71
43,-52,-65,-67,-75,-65,-68,-66,-74
44,-53,-65,-72,-72,-64,-68,-70,-75
45,-55,-63,-68,-70,-61,-63,-70,-74
46,-52,-66,-70,-72,-65,-71,-69,-71
47,-57,-59,-71,-74,-62,-67,-71,-73
48,-55,-67,-73,-71,-62,-68,-70,-74
49,-56,-67,-74,-71,-65,-62,-70,-73
50,-59,-63,-72,-71,-66,-65,-70,-72
51,-57,-66,-69,-71,-57,-66,-71,-73
52,-60,-71,-68,-72,-59,-61,-72,-72
53,-59,-67,-72,-76,-62,-66,-69,-71
54,-63,-65,-73,-73,-57,-61,-69,-68
55,-63,-64,-71,-71,-59,-65,-68,-75
56,-65,-66,-72,-73,-56,-67,-70,-71
57,-61,-62,-72,-75,-54,-63,-70,-73
58,-63,-68,-73,-74,-57,-66,-70,-74
59,-62,-68,-65,-73,-53,-63,-66,-72
60,-66,-65,-71,-71,-55,-61,-70,-73
61,-68,-67,-71,-75,-57,-66,-68,-71
62,-63,-73,-72,-76,-53,-65,-72,-72
63,-47,-63,-67,-74,-67,-67,-71,-71
64,-50,-64,-71,-69,-64,-71,-69,-75
65,-51,-62,-68,-72,-65,-67,-74,-75
66,-54,-63,-71,-69,-62,-66,-70,-74
67,-57,-64,-72,-72,-67,-65,-69,-75
68,-55,-64,-69,-79,-64,-69,-70,-73
69,-59,-64,-70,-71,-62,-69,-74,-72
70,-56,-64,-70,-73,-62,-65,-74,-70
71,-57,-60,-69,-73,-63,-67,-72,-75
72,-61,-65,-71,-71,-62,-69,-71,-75
73,-58,-64,-65,-73,-57,-67,-74,-74
74,-56,-66,-69,-71,-60,-68,-70,-74
75,-57,-67,-68,-73,-58,-64,-72,-70
76,-61,-68,-68,-74,-56,-67,-69,-69
77,-59,-67,-70,-73,-57,-65,-68,-75
78,-63,-62,-73,-73,-57,-60,-71,-70
79,-65,-66,-69,-76,-58,-62,-71,-72
80,-62,-62,-72,-74,-54,-67,-70,-75
81,-64,-66,-68,-69,-54,-68,-70,-71
82,-65,-66,-70,-72,-56,-63,-73,-71
83,-62,-67,-73,-75,-57,-66,-72,-74
84,-52,-63,-72,-70,-65,-69,-70,-75
85,-48,-65,-69,-75,-64,-68,-71,-71
86,-50,-58,-69,-74,-64,-68,-72,-72
87,-55,-64,-70,-73,-63,-67,-73,-74
88,-52,-63,-68,-73,-65,-66,-70,-72
89,-53,-64,-66,-73,-64,-66,-69,-72
90,-52,-61,-66,-73,-64,-65,-75,-74
91,-57,-55,-75,-74,-60,-66,-69,-74
92,-56,-64,-69,-70,-59,-64,-73,-73
93,-57,-66,-68,-73,-60,-64,-69,-70
94,-60,-65,-71,-78,-62,-65,-67,-78
95,-59,-66,-70,-72,-62,-63,-69,-73
96,-56,-68,-67,-69,-57,-66,-68,-72
97,-64,-66,-70,-67,-56,-63,-68,-73
98,-61,-68,-71,-70,-53,-62,-71,-71
99,-63,-64,-70,-75,-56,-61,-71,-71
100,-63,-64,-70,-75,-53,-63,-72,-72
101,-65,-71,-70,-70,-54,-64,-69,-73
102,-67,-70,-70,-72,-55,-67,-69,-70
103,-66,-67,-72,-70,-51,-65,-72,-70
104,-65,-66,-73,-75,-51,-62,-65,-68
105,-53,-58,-69,-71,-64,-70,-70,-71
106,-48,-63,-70,-73,-66,-67,-70,-70
107,-51,-62,-69,-72,-64,-65,-71,-73
108,-52,-65,-67,-70,-64,-66,-68,-75
109,-54,-60,-72,-73,-63,-66,-70,-72
110,-58,-62,-71,-74,-64,-63,-68,-71
111,-56,-64,-69,-76,-63,-66,-70,-69
112,-57,-66,-73,-71,-64,-65,-69,-73
113,-56,-63,-70,-71,-63,-69,-72,-74
114,-60,-63,-72,-71,-59,-67,-68,-70
115,-57,-64,-69,-75,-63,-65,-70,-71
116,-59,-64,-72,-69,-58,-64,-69,-71
117,-59,-64,-71,-73,-58,-62,-69,-74
118,-62,-64,-68,-75,-57,-65,-71,-76
119,-64,-63,-67,-73,-56,-61,-70,-73
120,-62,-69,-71,-71,-57,-63,-70,-70
121,-64,-65,-69,-73,-55,-62,-67,-72
122,-66,-63,-68,-73,-54,-64,-68,-74
123,-62,-61,-70,-76,-53,-61,-73,-75
124,-67,-62,-72,-74,-55,-62,-74,-71
125,-65,-65,-69,-75,-53,-61,-71,-73
126,-44,-59,-71,-73,-66,-67,-70,-73
127,-50,-59,-65,-71,-65,-66,-72,-72
128,-51,-63,-66,-69,-62,-69,-73,-73
129,-51,-62,-71,-70,-67,-70,-68,-75
130,-53,-61,-68,-71,-63,-63,-68,-74
131,-57,-60,-72,-72,-59,-63,-69,-69
