building,floor,site,tile,tessellation_type,coord_a_x,coord_a_y,coord_b_x,coord_b_y,coord_c_x,coord_c_y,coord_d_x,coord_d_y
laboratory,0,NULL,0_0,grid,-0.5,-0.5,0.5,-0.5,0.5,0.5,-0.5,0.5
laboratory,0,NULL,0_1,grid,-0.5,0.5,0.5,0.5,0.5,1.5,-0.5,1.5
laboratory,0,NULL,0_2,grid,-0.5,1.5,0.5,1.5,0.5,2.5,-0.5,2.5
laboratory,0,NULL,0_3,grid,-0.5,2.5,0.5,2.5,0.5,3.5,-0.5,3.5
laboratory,0,NULL,0_4,grid,-0.5,3.5,0.5,3.5,0.5,4.5,-0.5,4.5
laboratory,0,NULL,0_5,grid,-0.5,4.5,0.5,4.5,0.5,5.5,-0.5,5.5
laboratory,0,NULL,0_6,grid,-0.5,5.5,0.5,5.5,0.5,6.5,-0.5,6.5
laboratory,0,NULL,0_7,grid,-0.5,6.5,0.5,6.5,0.5,7.5,-0.5,7.5
laboratory,0,NULL,0_8,grid,-0.5,7.5,0.5,7.5,0.5,8.5,-0.5,8.5
laboratory,0,NULL,0_9,grid,-0.5,8.5,0.5,8.5,0.5,9.5,-0.5,9.5
laboratory,0,NULL,0_10,grid,-0.5,9.5,0.5,9.5,0.5,10.5,-0.5,10.5
laboratory,0,NULL,0_11,grid,-0.5,10.5,0.5,10.5,0.5,11.5,-0.5,11.5
laboratory,0,NULL,0_12,grid,-0.5,11.5,0.5,11.5,0.5,12.5,-0.5,12.5
laboratory,0,NULL,0_13,grid,-0.5,12.5,0.5,12.5,0.5,13.5,-0.5,13.5
laboratory,0,NULL,0_14,grid,-0.5,13.5,0.5,13.5,0.5,14.5,-0.5,14.5
laboratory,0,NULL,0_15,grid,-0.5,14.5,0.5,14.5,0.5,15.5,-0.5,15.5
laboratory,0,NULL,0_16,grid,-0.5,15.5,0.5,15.5,0.5,16.5,-0.5,16.5
laboratory,0,NULL,0_17,grid,-0.5,16.5,0.5,16.5,0.5,17.5,-0.5,17.5
laboratory,0,NULL,0_18,grid,-0.5,17.5,0.5,17.5,0.5,18.5,-0.5,18.5
laboratory,0,NULL,0_19,grid,-0.5,18.5,0.5,18.5,0.5,19.5,-0.5,19.5
laboratory,0,NULL,0_20,grid,-0.5,19.5,0.5,19.5,0.5,20.5,-0.5,20.5
laboratory,0,NULL,1_0,grid,0.5,-0.5,1.5,-0.5,1.5,0.5,0.5,0.5
laboratory,0,NULL,1_1,grid,0.5,0.5,1.5,0.5,1.5,1.5,0.5,1.5
laboratory,0,NULL,1_2,grid,0.5,1.5,1.5,1.5,1.5,2.5,0.5,2.5
laboratory,0,NULL,1_3,grid,0.5,2.5,1.5,2.5,1.5,3.5,0.5,3.5
laboratory,0,NULL,1_4,grid,0.5,3.5,1.5,3.5,1.5,4.5,0.5,4.5
laboratory,0,NULL,1_5,grid,0.5,4.5,1.5,4.5,1.5,5.5,0.5,5.5
laboratory,0,NULL,1_6,grid,0.5,5.5,1.5,5.5,1.5,6.5,0.5,6.5
laboratory,0,NULL,1_7,grid,0.5,6.5,1.5,6.5,1.5,7.5,0.5,7.5
laboratory,0,NULL,1_8,grid,0.5,7.5,1.5,7.5,1.5,8.5,0.5,8.5
laboratory,0,NULL,1_9,grid,0.5,8.5,1.5,8.5,1.5,9.5,0.5,9.5
laboratory,0,NULL,1_10,grid,0.5,9.5,1.5,9.5,1.5,10.5,0.5,10.5
laboratory,0,NULL,1_11,grid,0.5,10.5,1.5,10.5,1.5,11.5,0.5,11.5
laboratory,0,NULL,1_12,grid,0.5,11.5,1.5,11.5,1.5,12.5,0.5,12.5
laboratory,0,NULL,1_13,grid,0.5,12.5,1.5,12.5,1.5,13.5,0.5,13.5
laboratory,0,NULL,1_14,grid,0.5,13.5,1.5,13.5,1.5,14.5,0.5,14.5
laboratory,0,NULL,1_15,grid,0.5,14.5,1.5,14.5,1.5,15.5,0.5,15.5
laboratory,0,NULL,1_16,grid,0.5,15.5,1.5,15.5,1.5,16.5,0.5,16.5
laboratory,0,NULL,1_17,grid,0.5,16.5,1.5,16.5,1.5,17.5,0.5,17.5
laboratory,0,NULL,1_18,grid,0.5,17.5,1.5,17.5,1.5,18.5,0.5,18.5
laboratory,0,NULL,1_19,grid,0.5,18.5,1.5,18.5,1.5,19.5,0.5,19.5
laboratory,0,NULL,1_20,grid,0.5,19.5,1.5,19.5,1.5,20.5,0.5,20.5
laboratory,0,NULL,2_0,grid,1.5,-0.5,2.5,-0.5,2.5,0.5,1.5,0.5
