building,floor,site,tile,tessellation_type,coord_a_x,coord_a_y,coord_b_x,coord_b_y,coord_c_x,coord_c_y,coord_d_x,coord_d_y
1,0,NULL,-123_-43,grid,-123,-43,-122,-43,-122,-42,-123,-42
1,0,NULL,-123_-42,grid,-123,-42,-122,-42,-122,-41,-123,-41
1,0,NULL,-123_-41,grid,-123,-41,-122,-41,-122,-40,-123,-40
1,0,NULL,-123_-40,grid,-123,-40,-122,-40,-122,-39,-123,-39
1,0,NULL,-123_-39,grid,-123,-39,-122,-39,-122,-38,-123,-38
1,0,NULL,-123_-38,grid,-123,-38,-122,-38,-122,-37,-123,-37
1,0,NULL,-123_-37,grid,-123,-37,-122,-37,-122,-36,-123,-36
1,0,NULL,-123_-36,grid,-123,-36,-122,-36,-122,-35,-123,-35
1,0,NULL,-123_-35,grid,-123,-35,-122,-35,-122,-34,-123,-34
1,0,NULL,-123_-34,grid,-123,-34,-122,-34,-122,-33,-123,-33
1,0,NULL,-123_-33,grid,-123,-33,-122,-33,-122,-32,-123,-32
1,0,NULL,-123_-32,grid,-123,-32,-122,-32,-122,-31,-123,-31
1,0,NULL,-123_-31,grid,-123,-31,-122,-31,-122,-30,-123,-30
1,0,NULL,-123_-30,grid,-123,-30,-122,-30,-122,-29,-123,-29
1,0,NULL,-123_-29,grid,-123,-29,-122,-29,-122,-28,-123,-28
1,0,NULL,-123_-28,grid,-123,-28,-122,-28,-122,-27,-123,-27
1,0,NULL,-123_-27,grid,-123,-27,-122,-27,-122,-26,-123,-26
1,0,NULL,-123_-26,grid,-123,-26,-122,-26,-122,-25,-123,-25
1,0,NULL,-123_-25,grid,-123,-25,-122,-25,-122,-24,-123,-24
1,0,NULL,-123_-24,grid,-123,-24,-122,-24,-122,-23,-123,-23
1,0,NULL,-123_-23,grid,-123,-23,-122,-23,-122,-22,-123,-22
1,0,NULL,-123_-22,grid,-123,-22,-122,-22,-122,-21,-123,-21
1,0,NULL,-123_-21,grid,-123,-21,-122,-21,-122,-20,-123,-20
1,0,NULL,-123_-20,grid,-123,-20,-122,-20,-122,-19,-123,-19
1,0,NULL,-123_-19,grid,-123,-19,-122,-19,-122,-18,-123,-18
1,0,NULL,-123_-18,grid,-123,-18,-122,-18,-122,-17,-123,-17
1,0,NULL,-123_-17,grid,-123,-17,-122,-17,-122,-16,-123,-16
1,0,NULL,-123_-16,grid,-123,-16,-122,-16,-122,-15,-123,-15
1,0,NULL,-123_-15,grid,-123,-15,-122,-15,-122,-14,-123,-14
1,0,NULL,-123_-14,grid,-123,-14,-122,-14,-122,-13,-123,-13
1,0,NULL,-123_-13,grid,-123,-13,-122,-13,-122,-12,-123,-12
1,0,NULL,-123_-12,grid,-123,-12,-122,-12,-122,-11,-123,-11
1,0,NULL,-123_-11,grid,-123,-11,-122,-11,-122,-10,-123,-10
1,0,NULL,-123_-10,grid,-123,-10,-122,-10,-122,-9,-123,-9
1,0,NULL,-123_-9,grid,-123,-9,-122,-9,-122,-8,-123,-8
1,0,NULL,-123_-8,grid,-123,-8,-122,-8,-122,-7,-123,-7
1,0,NULL,-123_-7,grid,-123,-7,-122,-7,-122,-6,-123,-6
1,0,NULL,-123_-6,grid,-123,-6,-122,-6,-122,-5,-123,-5
1,0,NULL,-123_-5,grid,-123,-5,-122,-5,-122,-4,-123,-4
1,0,NULL,-123_-4,grid,-123,-4,-122,-4,-122,-3,-123,-3
1,0,NULL,-123_-3,grid,-123,-3,-122,-3,-122,-2,-123,-2
1,0,NULL,-123_-2,grid,-123,-2,-122,-2,-122,-1,-123,-1
1,0,NULL,-123_-1,grid,-123,-1,-122,-1,-122,0,-123,0
1,0,NULL,-123_0,grid,-123,0,-122,0,-122,1,-123,1
1,0,NULL,-123_1,grid,-123,1,-122,1,-122,2,-123,2
1,0,NULL,-123_2,grid,-123,2,-122,2,-122,3,-123,3
1,0,NULL,-123_3,grid,-123,3,-122,3,-122,4,-123,4
1,0,NULL,-123_4,grid,-123,4,-122,4,-122,5,-123,5
1,0,NULL,-123_5,grid,-123,5,-122,5,-122,6,-123,6
1,0,NULL,-123_6,grid,-123,6,-122,6,-122,7,-123,7
1,0,NULL,-123_7,grid,-123,7,-122,7,-122,8,-123,8
1,0,NULL,-123_8,grid,-123,8,-122,8,-122,9,-123,9
1,0,NULL,-123_9,grid,-123,9,-122,9,-122,10,-123,10
1,0,NULL,-123_10,grid,-123,10,-122,10,-122,11,-123,11
1,0,NULL,-123_11,grid,-123,11,-122,11,-122,12,-123,12
1,0,NULL,-123_12,grid,-123,12,-122,12,-122,13,-123,13
1,0,NULL,-123_13,grid,-123,13,-122,13,-122,14,-123,14
1,0,NULL,-123_14,grid,-123,14,-122,14,-122,15,-123,15
1,0,NULL,-123_15,grid,-123,15,-122,15,-122,16,-123,16
1,0,NULL,-123_16,grid,-123,16,-122,16,-122,17,-123,17
1,0,NULL,-123_17,grid,-123,17,-122,17,-122,18,-123,18
