fingerprint_id,coord_x,coord_y,coord_z,building,floor,site,tile,user_id,device_id,epoch,set,is_radio_map,preceded_by,followed_by,notes
0,137.24,19.730999999999998,NULL,0,0,NULL,crowd_tile_1,NULL,0,1503050363,training,True,NULL,NULL,NULL
1,65.521,38.705999999999996,NULL,0,3,NULL,crowd_tile_1,NULL,1,1490109005,training,True,NULL,NULL,NULL
2,144.92,48.446000000000005,NULL,0,1,NULL,crowd_tile_1,NULL,2,1501765978,training,True,NULL,NULL,NULL
3,105.08,39.736,NULL,0,2,NULL,crowd_tile_1,NULL,3,1501762670,training,True,NULL,NULL,NULL
4,133.01,72.874,NULL,0,1,NULL,crowd_tile_1,NULL,4,1503317732,training,True,NULL,NULL,NULL
5,77.607,52.518,NULL,0,1,NULL,crowd_tile_1,NULL,5,1503307427,training,True,NULL,NULL,NULL
6,99.32,43.653999999999996,NULL,0,0,NULL,crowd_tile_1,NULL,6,1500553951,training,True,NULL,NULL,NULL
7,112.33,44.667,NULL,0,3,NULL,crowd_tile_1,NULL,7,1503314089,training,True,NULL,NULL,NULL
8,124.74,44.75899999999999,NULL,0,3,NULL,crowd_tile_1,NULL,3,1501764744,training,True,NULL,NULL,NULL
9,54.757,25.395,NULL,0,0,NULL,crowd_tile_1,NULL,9,1503058108,training,True,NULL,NULL,NULL
10,133.97,66.28,NULL,0,3,NULL,crowd_tile_1,NULL,10,1503152379,training,True,NULL,NULL,NULL
11,29.11,35.334,NULL,0,3,NULL,crowd_tile_1,NULL,5,1501500902,training,True,NULL,NULL,NULL
12,98.0,22.0,NULL,0,0,NULL,crowd_tile_1,NULL,12,1502981491,training,True,NULL,NULL,NULL
13,60.785,37.472,NULL,0,0,NULL,crowd_tile_1,NULL,6,1500552196,training,True,NULL,NULL,NULL
14,109.17,40.169000000000004,NULL,0,2,NULL,crowd_tile_1,NULL,3,1501762692,training,True,NULL,NULL,NULL
15,108.42,35.73,NULL,0,0,NULL,crowd_tile_1,NULL,4,1503323893,training,True,NULL,NULL,NULL
16,102.83,24.791999999999998,NULL,0,0,NULL,crowd_tile_1,NULL,16,1493374828,training,True,NULL,NULL,NULL
17,143.0,56.542,NULL,0,3,NULL,crowd_tile_1,NULL,17,1502976255,training,True,NULL,NULL,NULL
18,136.93,58.318000000000005,NULL,0,2,NULL,crowd_tile_1,NULL,18,1503071587,training,True,NULL,NULL,NULL
19,129.83,70.82300000000001,NULL,0,1,NULL,crowd_tile_1,NULL,17,1502806688,training,True,NULL,NULL,NULL
20,39.891,63.093,NULL,0,2,NULL,crowd_tile_1,NULL,17,1503310663,training,True,NULL,NULL,NULL
21,133.28,48.656000000000006,NULL,0,3,NULL,crowd_tile_1,NULL,2,1501764800,training,True,NULL,NULL,NULL
22,126.17,20.61,NULL,0,1,NULL,crowd_tile_1,NULL,4,1503071939,training,True,NULL,NULL,NULL
23,81.85300000000001,23.112,NULL,0,1,NULL,crowd_tile_1,NULL,23,1501755435,training,True,NULL,NULL,NULL
24,100.53,23.221999999999998,NULL,0,1,NULL,crowd_tile_1,NULL,1,1490105748,training,True,NULL,NULL,NULL
25,103.84,44.263999999999996,NULL,0,3,NULL,crowd_tile_1,NULL,12,1503314695,training,True,NULL,NULL,NULL
26,54.021,28.33,NULL,0,4,NULL,crowd_tile_1,NULL,6,1501751326,training,True,NULL,NULL,NULL
27,92.141,39.415,NULL,0,1,NULL,crowd_tile_1,NULL,6,1500550973,training,True,NULL,NULL,NULL
28,86.835,38.985,NULL,0,2,NULL,crowd_tile_1,NULL,12,1503319104,training,True,NULL,NULL,NULL
29,32.537,22.111,NULL,0,0,NULL,crowd_tile_1,NULL,2,1501766414,training,True,NULL,NULL,NULL
30,93.542,40.806,NULL,0,3,NULL,crowd_tile_1,NULL,18,1503070687,training,True,NULL,NULL,NULL
31,89.56200000000001,37.861,NULL,0,1,NULL,crowd_tile_1,NULL,5,1503307290,training,True,NULL,NULL,NULL
32,128.85,72.62899999999999,NULL,0,3,NULL,crowd_tile_1,NULL,4,1503317292,training,True,NULL,NULL,NULL
33,139.14,54.961999999999996,NULL,0,3,NULL,crowd_tile_1,NULL,9,1500987196,training,True,NULL,NULL,NULL
34,62.285,20.269000000000002,NULL,0,0,NULL,crowd_tile_1,NULL,4,1502982798,training,True,NULL,NULL,NULL
35,57.547,32.148,NULL,0,4,NULL,crowd_tile_1,NULL,4,1501752186,training,True,NULL,NULL,NULL
36,106.33,56.0,NULL,0,2,NULL,crowd_tile_1,NULL,5,1503308982,training,True,NULL,NULL,NULL
37,40.342,36.196,NULL,0,2,NULL,crowd_tile_1,NULL,17,1487921563,training,True,NULL,NULL,NULL
38,102.71,64.63,NULL,0,2,NULL,crowd_tile_1,NULL,4,1503318718,training,True,NULL,NULL,NULL
39,67.678,65.957,NULL,0,3,NULL,crowd_tile_1,NULL,4,1503319402,training,True,NULL,NULL,NULL
40,99.71600000000001,40.400999999999996,NULL,0,2,NULL,crowd_tile_1,NULL,12,1503319047,training,True,NULL,NULL,NULL
41,101.31,69.84,NULL,0,0,NULL,crowd_tile_1,NULL,17,1487921305,training,True,NULL,NULL,NULL
42,132.46,65.82,NULL,0,0,NULL,crowd_tile_1,NULL,10,1503312688,training,True,NULL,NULL,NULL
43,106.65,55.08,NULL,0,2,NULL,crowd_tile_1,NULL,1,1503308990,training,True,NULL,NULL,NULL
44,100.63,71.183,NULL,0,3,NULL,crowd_tile_1,NULL,4,1503318612,training,True,NULL,NULL,NULL
45,173.33,51.667,NULL,0,0,NULL,crowd_tile_1,NULL,23,1502360025,training,True,NULL,NULL,NULL
46,71.742,63.797,NULL,0,0,NULL,crowd_tile_1,NULL,9,1502968176,training,True,NULL,NULL,NULL
47,45.233999999999995,18.145,NULL,0,1,NULL,crowd_tile_1,NULL,1,1490105098,training,True,NULL,NULL,NULL
48,98.639,44.471000000000004,NULL,0,2,NULL,crowd_tile_1,NULL,6,1500460116,training,True,NULL,NULL,NULL
49,98.152,16.305,NULL,0,0,NULL,crowd_tile_1,NULL,7,1503322234,training,True,NULL,NULL,NULL
50,132.87,68.763,NULL,0,3,NULL,crowd_tile_1,NULL,6,1500461665,training,True,NULL,NULL,NULL
51,107.56,22.964000000000002,NULL,0,1,NULL,crowd_tile_1,NULL,6,1500463354,training,True,NULL,NULL,NULL
