device_id,device_model,device_manufacturer,device_type,notes
0,A27,Celkon,smartphone,NULL
1,GT-I8160,Samsung,smartphone,NULL
2,GT-I8160,Samsung,smartphone,NULL
3,GT-I9100,Samsung,smartphone,NULL
4,GT-I9300,Samsung,smartphone,NULL
5,GT-I9505,Samsung,smartphone,NULL
6,GT-S5360,Samsung,smartphone,NULL
7,GT-S6500,Samsung,smartphone,NULL
8,Galaxy Nexus,Samsung,smartphone,NULL
9,Galaxy Nexus,Samsung,smartphone,NULL
10,Desire HD,HTC,smartphone,NULL
11,One,HTC,smartphone,NULL
12,One,HTC,smartphone,NULL
13,Wildfire S,HTC,smartphone,NULL
14,LT22i,Sony,smartphone,NULL
15,LT22i,Sony,smartphone,NULL
16,LT26i,Sony,smartphone,NULL
17,M1005D,Eclipse,tablet,NULL
18,MT11i,Sony,smartphone,NULL
19,Nexus 4,LG,smartphone,NULL
20,Nexus 4,LG,smartphone,NULL
21,Nexus S,Samsung,smartphone,NULL
22,Monte Carlo,Orange,smartphone,NULL
23,Transformer TF101,ASUS,tablet,NULL
24,Curie,bq,tablet,NULL
