fingerprint_id,coord_x,coord_y,coord_z,building,floor,site,tile,user_id,device_id,epoch,set,is_radio_map,preceded_by,followed_by,notes
0,-7541.264299999922,4864920.7782000005,NULL,1,2,106_2,106_2_tile,2,23,1371713733,training,True,NULL,NULL,NULL
1,-7536.6211999990055,4864934.2251999965,NULL,1,2,106_2,106_2_tile,2,23,1371713691,training,True,NULL,NULL,NULL
2,-7519.152399998158,4864949.532200001,NULL,1,2,103_2,103_2_tile,2,23,1371714095,training,True,NULL,NULL,NULL
3,-7524.570399999618,4864934.093000002,NULL,1,2,102_2,102_2_tile,2,23,1371713807,training,True,NULL,NULL,NULL
4,-7632.143599998206,4864982.217100002,NULL,0,0,122_2,122_2_tile,11,13,1369909710,training,True,NULL,NULL,NULL
5,-7533.896200001241,4864939.258299999,NULL,1,2,105_2,105_2_tile,2,23,1371713841,training,True,NULL,NULL,NULL
6,-7519.152399998158,4864949.532200001,NULL,1,2,103_2,103_2_tile,2,23,1371713883,training,True,NULL,NULL,NULL
7,-7527.451099999249,4864929.146399997,NULL,1,2,101_2,101_2_tile,2,23,1371713775,training,True,NULL,NULL,NULL
8,-7559.497299998999,4864887.650399998,NULL,1,2,112_2,112_2_tile,2,23,1371714307,training,True,NULL,NULL,NULL
9,-7510.437173217535,4864949.2514167065,NULL,1,2,103_1,103_1_tile,2,23,1371714128,training,True,NULL,NULL,NULL
10,-7528.816401548684,4864959.430612221,NULL,1,2,104_1,104_1_tile,2,23,1371714200,training,True,NULL,NULL,NULL
11,-7523.628199998288,4864951.958300002,NULL,1,2,104_2,104_2_tile,2,23,1371714166,training,True,NULL,NULL,NULL
12,-7571.093400001526,4864871.7184000015,NULL,1,2,110_2,110_2_tile,2,23,1371714393,training,True,NULL,NULL,NULL
13,-7559.78200000152,4864871.373499997,NULL,1,2,108_2,108_2_tile,2,23,1371714467,training,True,NULL,NULL,NULL
14,-7562.186200000346,4864866.785099998,NULL,1,2,109_2,109_2_tile,2,23,1371714433,training,True,NULL,NULL,NULL
15,-7564.196299999952,4864887.1932,NULL,1,2,111_2,111_2_tile,2,23,1371714355,training,True,NULL,NULL,NULL
16,-7555.132300000639,4864885.251500003,NULL,1,2,107_2,107_2_tile,2,23,1371714509,training,True,NULL,NULL,NULL
17,-7520.724500000478,4864892.4384,NULL,1,2,15_2,15_2_tile,2,23,1371714730,training,True,NULL,NULL,NULL
18,-7521.867186445744,4864889.477093995,NULL,1,2,29_1,29_1_tile,2,23,1371714802,training,True,NULL,NULL,NULL
19,-7537.339899998158,4864895.785400003,NULL,1,2,117_2,117_2_tile,2,23,1371714556,training,True,NULL,NULL,NULL
20,-7526.710926756264,4864892.801808476,NULL,1,2,15_1,15_1_tile,2,23,1371714772,training,True,NULL,NULL,NULL
21,-7516.088799998164,4864889.878200002,NULL,1,2,16_2,16_2_tile,2,23,1371714919,training,True,NULL,NULL,NULL
22,-7512.604163631797,4864884.949543999,NULL,1,2,16_1,16_1_tile,2,23,1371714946,training,True,NULL,NULL,NULL
23,-7520.755800001323,4864891.4821000025,NULL,1,2,29_2,29_2_tile,2,23,1371714879,training,True,NULL,NULL,NULL
24,-7516.841499999165,4864889.291000001,NULL,1,2,28_2,28_2_tile,2,23,1371714847,training,True,NULL,NULL,NULL
25,-7502.449700001627,4864884.176100002,NULL,1,2,22_2,22_2_tile,2,23,1371714992,training,True,NULL,NULL,NULL
26,-7489.177499998361,4864899.944899999,NULL,1,2,10_2,10_2_tile,2,23,1371715041,training,True,NULL,NULL,NULL
27,-7482.4561760276565,4864901.429579936,NULL,1,2,10_1,10_1_tile,2,23,1371715082,training,True,NULL,NULL,NULL
28,-7491.030633945018,4864865.38593483,NULL,1,2,2_1,2_1_tile,2,23,1371715259,training,True,NULL,NULL,NULL
29,-7501.221900001168,4864863.072899997,NULL,1,2,2_2,2_2_tile,2,23,1371715227,training,True,NULL,NULL,NULL
30,-7480.124099999665,4864894.9306000015,NULL,1,2,10_2,10_2_tile,2,23,1371715133,training,True,NULL,NULL,NULL
31,-7506.731899999082,4864850.683999999,NULL,1,2,4_2,4_2_tile,2,23,1371715373,training,True,NULL,NULL,NULL
32,-7502.826900001615,4864860.174599998,NULL,1,2,3_2,3_2_tile,2,23,1371715304,training,True,NULL,NULL,NULL
33,-7511.736699998379,4864841.647200003,NULL,1,2,5_2,5_2_tile,2,23,1371715416,training,True,NULL,NULL,NULL
34,-7516.474500000478,4864844.597199999,NULL,1,2,6_2,6_2_tile,2,23,1371715451,training,True,NULL,NULL,NULL
35,-7504.881400000304,4864865.5295,NULL,1,2,9_2,9_2_tile,2,23,1371715559,training,True,NULL,NULL,NULL
36,-7474.652600001544,4864865.9525000015,NULL,1,2,27_2,27_2_tile,2,23,1371715774,training,True,NULL,NULL,NULL
37,-7506.529300000519,4864862.554300003,NULL,1,2,8_2,8_2_tile,2,23,1371715528,training,True,NULL,NULL,NULL
38,-7511.5214999988675,4864853.5402000025,NULL,1,2,7_2,7_2_tile,2,23,1371715490,training,True,NULL,NULL,NULL
39,-7470.518699999899,4864863.662799999,NULL,1,2,26_2,26_2_tile,2,23,1371715835,training,True,NULL,NULL,NULL
40,-7469.7391000017515,4864864.291500002,NULL,1,2,18_2,18_2_tile,2,23,1371715871,training,True,NULL,NULL,NULL
41,-7457.242100000381,4864853.930299997,NULL,1,2,216_2,216_2_tile,2,23,1371716120,training,True,NULL,NULL,NULL
42,-7480.431491758674,4864867.1309280535,NULL,1,2,17_1,17_1_tile,2,23,1371715972,training,True,NULL,NULL,NULL
43,-7474.582499999553,4864866.872299999,NULL,1,2,17_2,17_2_tile,2,23,1371715940,training,True,NULL,NULL,NULL
44,-7466.291100092231,4864859.3389488915,NULL,1,2,18_1,18_1_tile,2,23,1371715902,training,True,NULL,NULL,NULL
45,-7458.26419999823,4864852.0842999965,NULL,1,2,217_2,217_2_tile,2,23,1371716152,training,True,NULL,NULL,NULL
46,-7331.747999999671,4864767.318000004,NULL,2,3,247_2,247_2_tile,2,23,1371716690,training,True,NULL,NULL,NULL
47,-7331.400499999522,4864768.478600003,NULL,2,3,248_2,248_2_tile,2,23,1371716637,training,True,NULL,NULL,NULL
48,-7461.524049259721,4864852.0464766035,NULL,1,2,217_1,217_1_tile,2,23,1371716209,training,True,NULL,NULL,NULL
49,-7327.492165092379,4864766.668530561,NULL,2,3,247_1,247_1_tile,2,23,1371716719,training,True,NULL,NULL,NULL
50,-7336.700399998575,4864764.478799999,NULL,2,3,246_2,246_2_tile,2,23,1371716762,training,True,NULL,NULL,NULL
51,-7337.394799999893,4864763.226999998,NULL,2,3,245_2,245_2_tile,2,23,1371716797,training,True,NULL,NULL,NULL
52,-7340.524599999189,4864757.585900001,NULL,2,3,244_2,244_2_tile,2,23,1371716826,training,True,NULL,NULL,NULL
53,-7341.214999999851,4864756.341499999,NULL,2,3,243_2,243_2_tile,2,23,1371716857,training,True,NULL,NULL,NULL
54,-7339.1538871750245,4864749.384690456,NULL,2,3,242_1,242_1_tile,2,23,1371716935,training,True,NULL,NULL,NULL
55,-7337.23213905096,4864752.848840348,NULL,2,3,243_1,243_1_tile,2,23,1371716982,training,True,NULL,NULL,NULL
56,-7344.968400001526,4864749.5759999985,NULL,2,3,241_2,241_2_tile,2,23,1371717041,training,True,NULL,NULL,NULL
57,-7344.211399998516,4864750.939999999,NULL,2,3,242_2,242_2_tile,2,23,1371716896,training,True,NULL,NULL,NULL
58,-7344.968400001526,4864749.5759999985,NULL,2,3,241_2,241_2_tile,2,23,1371717071,training,True,NULL,NULL,NULL
59,-7347.108300000428,4864748.045599997,NULL,2,3,240_2,240_2_tile,2,23,1371717264,training,True,NULL,NULL,NULL
60,-7407.379599999636,4864799.6941,NULL,2,3,201_2,201_2_tile,2,23,1371717408,training,True,NULL,NULL,NULL
61,-7408.288427382708,4864803.464716807,NULL,2,3,201_1,201_1_tile,2,23,1371717473,training,True,NULL,NULL,NULL
62,-7410.328999999911,4864800.005599998,NULL,2,3,202_2,202_2_tile,2,23,1371717506,training,True,NULL,NULL,NULL
63,-7408.288427382708,4864803.464716807,NULL,2,3,201_1,201_1_tile,2,23,1371717560,training,True,NULL,NULL,NULL
64,-7413.154800001532,4864789.236699998,NULL,2,3,204_2,204_2_tile,2,23,1371720043,training,True,NULL,NULL,NULL
65,-7411.2507000006735,4864792.7678999975,NULL,2,3,203_2,203_2_tile,2,23,1371720009,training,True,NULL,NULL,NULL
66,-7413.955299999566,4864787.794299996,NULL,2,3,205_2,205_2_tile,2,23,1371720080,training,True,NULL,NULL,NULL
67,-7405.100900001824,4864789.7755,NULL,2,3,207_2,207_2_tile,2,23,1371720152,training,True,NULL,NULL,NULL
68,-7413.921399999409,4864785.033399999,NULL,2,3,206_2,206_2_tile,2,23,1371720112,training,True,NULL,NULL,NULL
69,-7403.73600000143,4864789.018399999,NULL,2,3,209_2,209_2_tile,2,23,1371720219,training,True,NULL,NULL,NULL
70,-7398.11080000177,4864785.8972999975,NULL,2,3,211_2,211_2_tile,2,23,1371720293,training,True,NULL,NULL,NULL
71,-7406.063099998981,4864788.219300002,NULL,2,3,208_2,208_2_tile,2,23,1371720184,training,True,NULL,NULL,NULL
72,-7404.705499999225,4864787.466200002,NULL,2,3,210_2,210_2_tile,2,23,1371720254,training,True,NULL,NULL,NULL
73,-7399.109700001776,4864784.361699998,NULL,2,3,212_2,212_2_tile,2,23,1371720323,training,True,NULL,NULL,NULL
74,-7398.5587060302505,4864779.87839587,NULL,2,3,214_1,214_1_tile,2,23,1371720456,training,True,NULL,NULL,NULL
75,-7397.859799999744,4864783.668200001,NULL,2,3,214_2,214_2_tile,2,23,1371720385,training,True,NULL,NULL,NULL
76,-7396.896099999547,4864785.223499998,NULL,2,3,213_2,213_2_tile,2,23,1371720355,training,True,NULL,NULL,NULL
77,-7415.163003530352,4864796.084482223,NULL,2,3,203_1,203_1_tile,2,23,1371720511,training,True,NULL,NULL,NULL
78,-7395.100707694888,4864777.95992858,NULL,2,3,216_1,216_1_tile,2,23,1371720724,training,True,NULL,NULL,NULL
79,-7392.357000000775,4864780.615599996,NULL,2,3,216_2,216_2_tile,2,23,1371720665,training,True,NULL,NULL,NULL
80,-7390.095800001174,4864781.450599998,NULL,2,3,217_2,217_2_tile,2,23,1371720769,training,True,NULL,NULL,NULL
81,-7391.35909999907,4864782.1516999975,NULL,2,3,215_2,215_2_tile,2,23,1371720589,training,True,NULL,NULL,NULL
82,-7390.649026967585,4864785.979925662,NULL,2,3,215_1,215_1_tile,2,23,1371720627,training,True,NULL,NULL,NULL
83,-7366.751436967404,4864837.214649305,NULL,2,2,121_1,121_1_tile,11,13,1371724142,training,True,NULL,NULL,NULL
84,-7384.393399998547,4864778.2870000005,NULL,2,3,219_2,219_2_tile,2,23,1371720832,training,True,NULL,NULL,NULL
85,-7383.265599999577,4864777.661399998,NULL,2,3,221_2,221_2_tile,2,23,1371720896,training,True,NULL,NULL,NULL
86,-7384.211300000548,4864776.0964,NULL,2,3,222_2,222_2_tile,2,23,1371720926,training,True,NULL,NULL,NULL
87,-7391.084499999882,4864779.909699999,NULL,2,3,218_2,218_2_tile,2,23,1371720798,training,True,NULL,NULL,NULL
88,-7385.372800000012,4864776.740699999,NULL,2,3,220_2,220_2_tile,2,23,1371720864,training,True,NULL,NULL,NULL
89,-7377.651299998164,4864772.941299997,NULL,2,3,250_2,250_2_tile,2,23,1371721052,training,True,NULL,NULL,NULL
90,-7376.4010000005355,4864773.852899998,NULL,2,3,223_2,223_2_tile,2,23,1371720964,training,True,NULL,NULL,NULL
91,-7374.294482905418,4864777.897182643,NULL,2,3,223_1,223_1_tile,2,23,1371721005,training,True,NULL,NULL,NULL
92,-7369.632300000639,4864770.0979999965,NULL,2,3,225_2,225_2_tile,2,23,1371721086,training,True,NULL,NULL,NULL
93,-7370.614700000732,4864768.552900001,NULL,2,3,224_2,224_2_tile,2,23,1371721123,training,True,NULL,NULL,NULL
94,-7363.03830000013,4864766.439499997,NULL,2,3,229_2,229_2_tile,2,23,1371721284,training,True,NULL,NULL,NULL
95,-7369.414400000124,4864767.887100004,NULL,2,3,226_2,226_2_tile,2,23,1371721161,training,True,NULL,NULL,NULL
96,-7368.386100001633,4864769.406199999,NULL,2,3,227_2,227_2_tile,2,23,1371721218,training,True,NULL,NULL,NULL
97,-7363.996100001038,4864764.880800001,NULL,2,3,228_2,228_2_tile,2,23,1371721251,training,True,NULL,NULL,NULL
98,-7356.0102000012985,4864762.5402000025,NULL,2,3,233_2,233_2_tile,2,23,1371721462,training,True,NULL,NULL,NULL
99,-7361.5406999997795,4864765.608599998,NULL,2,3,231_2,231_2_tile,2,23,1371721401,training,True,NULL,NULL,NULL
100,-7362.526500001551,4864764.065700002,NULL,2,3,230_2,230_2_tile,2,23,1371721316,training,True,NULL,NULL,NULL
101,-7363.228232070805,4864760.277467221,NULL,2,3,230_1,230_1_tile,2,23,1371721358,training,True,NULL,NULL,NULL
102,-7356.978100001811,4864760.987300001,NULL,2,3,232_2,232_2_tile,2,23,1371721433,training,True,NULL,NULL,NULL
103,-7350.146999999882,4864757.249200001,NULL,2,3,236_2,236_2_tile,2,23,1371721559,training,True,NULL,NULL,NULL
104,-7352.9321568608275,4864754.565126285,NULL,2,3,236_1,236_1_tile,2,23,1371721594,training,True,NULL,NULL,NULL
105,-7354.719900000841,4864761.8244,NULL,2,3,235_2,235_2_tile,2,23,1371721528,training,True,NULL,NULL,NULL
106,-7355.670499999076,4864760.262000002,NULL,2,3,234_2,234_2_tile,2,23,1371721495,training,True,NULL,NULL,NULL
107,-7349.279599998145,4864758.806000002,NULL,2,3,237_2,237_2_tile,2,23,1371721631,training,True,NULL,NULL,NULL
108,-7536.6211999990055,4864934.2251999965,NULL,1,2,106_2,106_2_tile,2,23,1371713678,training,True,NULL,NULL,NULL
109,-7536.598200000822,4864918.117200002,NULL,1,2,101_2,101_2_tile,2,23,1371713638,training,True,NULL,NULL,NULL
110,-7348.8982000015685,4864756.556000002,NULL,2,3,238_2,238_2_tile,2,23,1371721661,training,True,NULL,NULL,NULL
111,-7348.012899998575,4864758.103299998,NULL,2,3,239_2,239_2_tile,2,23,1371721696,training,True,NULL,NULL,NULL
112,-7541.264299999922,4864920.7782000005,NULL,1,2,106_2,106_2_tile,2,23,1371713720,training,True,NULL,NULL,NULL
113,-7533.896200001241,4864939.258299999,NULL,1,2,105_2,105_2_tile,2,23,1371713829,training,True,NULL,NULL,NULL
114,-7519.152399998158,4864949.532200001,NULL,1,2,103_2,103_2_tile,2,23,1371713870,training,True,NULL,NULL,NULL
115,-7524.570399999618,4864934.093000002,NULL,1,2,102_2,102_2_tile,2,23,1371713794,training,True,NULL,NULL,NULL
116,-7527.451099999249,4864929.146399997,NULL,1,2,101_2,101_2_tile,2,23,1371713762,training,True,NULL,NULL,NULL
117,-7571.071074258536,4864890.459293477,NULL,1,2,112_1,112_1_tile,2,23,1371714280,training,True,NULL,NULL,NULL
118,-7519.152399998158,4864949.532200001,NULL,1,2,103_2,103_2_tile,2,23,1371714082,training,True,NULL,NULL,NULL
119,-7510.437173217535,4864949.2514167065,NULL,1,2,103_1,103_1_tile,2,23,1371714115,training,True,NULL,NULL,NULL
120,-7528.816401548684,4864959.430612221,NULL,1,2,104_1,104_1_tile,2,23,1371714187,training,True,NULL,NULL,NULL
121,-7523.628199998288,4864951.958300002,NULL,1,2,104_2,104_2_tile,2,23,1371714154,training,True,NULL,NULL,NULL
122,-7571.093400001526,4864871.7184000015,NULL,1,2,110_2,110_2_tile,2,23,1371714380,training,True,NULL,NULL,NULL
123,-7562.186200000346,4864866.785099998,NULL,1,2,109_2,109_2_tile,2,23,1371714420,training,True,NULL,NULL,NULL
124,-7559.497299998999,4864887.650399998,NULL,1,2,112_2,112_2_tile,2,23,1371714294,training,True,NULL,NULL,NULL
125,-7559.78200000152,4864871.373499997,NULL,1,2,108_2,108_2_tile,2,23,1371714454,training,True,NULL,NULL,NULL
126,-7564.196299999952,4864887.1932,NULL,1,2,111_2,111_2_tile,2,23,1371714342,training,True,NULL,NULL,NULL
127,-7520.724500000478,4864892.4384,NULL,1,2,15_2,15_2_tile,2,23,1371714721,training,True,NULL,NULL,NULL
128,-7521.867186445744,4864889.477093995,NULL,1,2,29_1,29_1_tile,2,23,1371714787,training,True,NULL,NULL,NULL
129,-7555.132300000639,4864885.251500003,NULL,1,2,107_2,107_2_tile,2,23,1371714496,training,True,NULL,NULL,NULL
130,-7537.339899998158,4864895.785400003,NULL,1,2,117_2,117_2_tile,2,23,1371714543,training,True,NULL,NULL,NULL
131,-7517.912551965565,4864887.286727645,NULL,1,2,28_1,28_1_tile,2,23,1371714817,training,True,NULL,NULL,NULL
132,-7520.755800001323,4864891.4821000025,NULL,1,2,29_2,29_2_tile,2,23,1371714866,training,True,NULL,NULL,NULL
133,-7516.088799998164,4864889.878200002,NULL,1,2,16_2,16_2_tile,2,23,1371714907,training,True,NULL,NULL,NULL
134,-7512.604163631797,4864884.949543999,NULL,1,2,16_1,16_1_tile,2,23,1371714933,training,True,NULL,NULL,NULL
135,-7516.841499999165,4864889.291000001,NULL,1,2,28_2,28_2_tile,2,23,1371714834,training,True,NULL,NULL,NULL
136,-7501.221900001168,4864863.072899997,NULL,1,2,2_2,2_2_tile,2,23,1371715214,training,True,NULL,NULL,NULL
137,-7482.4561760276565,4864901.429579936,NULL,1,2,10_1,10_1_tile,2,23,1371715069,training,True,NULL,NULL,NULL
138,-7502.449700001627,4864884.176100002,NULL,1,2,22_2,22_2_tile,2,23,1371714979,training,True,NULL,NULL,NULL
139,-7489.177499998361,4864899.944899999,NULL,1,2,10_2,10_2_tile,2,23,1371715028,training,True,NULL,NULL,NULL
140,-7480.124099999665,4864894.9306000015,NULL,1,2,10_2,10_2_tile,2,23,1371715120,training,True,NULL,NULL,NULL
141,-7506.731899999082,4864850.683999999,NULL,1,2,4_2,4_2_tile,2,23,1371715360,training,True,NULL,NULL,NULL
142,-7516.474500000478,4864844.597199999,NULL,1,2,6_2,6_2_tile,2,23,1371715437,training,True,NULL,NULL,NULL
143,-7511.736699998379,4864841.647200003,NULL,1,2,5_2,5_2_tile,2,23,1371715406,training,True,NULL,NULL,NULL
144,-7491.030633945018,4864865.38593483,NULL,1,2,2_1,2_1_tile,2,23,1371715246,training,True,NULL,NULL,NULL
145,-7502.826900001615,4864860.174599998,NULL,1,2,3_2,3_2_tile,2,23,1371715291,training,True,NULL,NULL,NULL
146,-7504.881400000304,4864865.5295,NULL,1,2,9_2,9_2_tile,2,23,1371715546,training,True,NULL,NULL,NULL
147,-7474.652600001544,4864865.9525000015,NULL,1,2,27_2,27_2_tile,2,23,1371715614,training,True,NULL,NULL,NULL
148,-7474.652600001544,4864865.9525000015,NULL,1,2,27_2,27_2_tile,2,23,1371715761,training,True,NULL,NULL,NULL
149,-7506.529300000519,4864862.554300003,NULL,1,2,8_2,8_2_tile,2,23,1371715515,training,True,NULL,NULL,NULL
