building,floor,floor_number,site,site_height,site_area,floor_height,floor_area,building_area
1,2,2,106_2,NULL,NULL,NULL,NULL,NULL
1,2,2,103_2,NULL,NULL,NULL,NULL,NULL
1,2,2,102_2,NULL,NULL,NULL,NULL,NULL
0,0,0,122_2,NULL,NULL,NULL,NULL,NULL
1,2,2,105_2,NULL,NULL,NULL,NULL,NULL
1,2,2,101_2,NULL,NULL,NULL,NULL,NULL
1,2,2,112_2,NULL,NULL,NULL,NULL,NULL
1,2,2,103_1,NULL,NULL,NULL,NULL,NULL
1,2,2,104_1,NULL,NULL,NULL,NULL,NULL
1,2,2,104_2,NULL,NULL,NULL,NULL,NULL
1,2,2,110_2,NULL,NULL,NULL,NULL,NULL
1,2,2,108_2,NULL,NULL,NULL,NULL,NULL
1,2,2,109_2,NULL,NULL,NULL,NULL,NULL
1,2,2,111_2,NULL,NULL,NULL,NULL,NULL
1,2,2,107_2,NULL,NULL,NULL,NULL,NULL
1,2,2,15_2,NULL,NULL,NULL,NULL,NULL
1,2,2,29_1,NULL,NULL,NULL,NULL,NULL
1,2,2,117_2,NULL,NULL,NULL,NULL,NULL
1,2,2,15_1,NULL,NULL,NULL,NULL,NULL
1,2,2,16_2,NULL,NULL,NULL,NULL,NULL
1,2,2,16_1,NULL,NULL,NULL,NULL,NULL
1,2,2,29_2,NULL,NULL,NULL,NULL,NULL
1,2,2,28_2,NULL,NULL,NULL,NULL,NULL
1,2,2,22_2,NULL,NULL,NULL,NULL,NULL
1,2,2,10_2,NULL,NULL,NULL,NULL,NULL
1,2,2,10_1,NULL,NULL,NULL,NULL,NULL
1,2,2,2_1,NULL,NULL,NULL,NULL,NULL
1,2,2,2_2,NULL,NULL,NULL,NULL,NULL
1,2,2,4_2,NULL,NULL,NULL,NULL,NULL
1,2,2,3_2,NULL,NULL,NULL,NULL,NULL
1,2,2,5_2,NULL,NULL,NULL,NULL,NULL
1,2,2,6_2,NULL,NULL,NULL,NULL,NULL
1,2,2,9_2,NULL,NULL,NULL,NULL,NULL
1,2,2,27_2,NULL,NULL,NULL,NULL,NULL
1,2,2,8_2,NULL,NULL,NULL,NULL,NULL
1,2,2,7_2,NULL,NULL,NULL,NULL,NULL
1,2,2,26_2,NULL,NULL,NULL,NULL,NULL
1,2,2,18_2,NULL,NULL,NULL,NULL,NULL
1,2,2,216_2,NULL,NULL,NULL,NULL,NULL
1,2,2,17_1,NULL,NULL,NULL,NULL,NULL
1,2,2,17_2,NULL,NULL,NULL,NULL,NULL
1,2,2,18_1,NULL,NULL,NULL,NULL,NULL
1,2,2,217_2,NULL,NULL,NULL,NULL,NULL
2,3,3,247_2,NULL,NULL,NULL,NULL,NULL
2,3,3,248_2,NULL,NULL,NULL,NULL,NULL
1,2,2,217_1,NULL,NULL,NULL,NULL,NULL
2,3,3,247_1,NULL,NULL,NULL,NULL,NULL
2,3,3,246_2,NULL,NULL,NULL,NULL,NULL
2,3,3,245_2,NULL,NULL,NULL,NULL,NULL
2,3,3,244_2,NULL,NULL,NULL,NULL,NULL
2,3,3,243_2,NULL,NULL,NULL,NULL,NULL
2,3,3,242_1,NULL,NULL,NULL,NULL,NULL
2,3,3,243_1,NULL,NULL,NULL,NULL,NULL
2,3,3,241_2,NULL,NULL,NULL,NULL,NULL
2,3,3,242_2,NULL,NULL,NULL,NULL,NULL
2,3,3,240_2,NULL,NULL,NULL,NULL,NULL
2,3,3,201_2,NULL,NULL,NULL,NULL,NULL
2,3,3,201_1,NULL,NULL,NULL,NULL,NULL
2,3,3,202_2,NULL,NULL,NULL,NULL,NULL
2,3,3,204_2,NULL,NULL,NULL,NULL,NULL
2,3,3,203_2,NULL,NULL,NULL,NULL,NULL
2,3,3,205_2,NULL,NULL,NULL,NULL,NULL
2,3,3,207_2,NULL,NULL,NULL,NULL,NULL
2,3,3,206_2,NULL,NULL,NULL,NULL,NULL
2,3,3,209_2,NULL,NULL,NULL,NULL,NULL
2,3,3,211_2,NULL,NULL,NULL,NULL,NULL
2,3,3,208_2,NULL,NULL,NULL,NULL,NULL
2,3,3,210_2,NULL,NULL,NULL,NULL,NULL
2,3,3,212_2,NULL,NULL,NULL,NULL,NULL
2,3,3,214_1,NULL,NULL,NULL,NULL,NULL
2,3,3,214_2,NULL,NULL,NULL,NULL,NULL
2,3,3,213_2,NULL,NULL,NULL,NULL,NULL
2,3,3,203_1,NULL,NULL,NULL,NULL,NULL
2,3,3,216_1,NULL,NULL,NULL,NULL,NULL
2,3,3,216_2,NULL,NULL,NULL,NULL,NULL
2,3,3,217_2,NULL,NULL,NULL,NULL,NULL
2,3,3,215_2,NULL,NULL,NULL,NULL,NULL
2,3,3,215_1,NULL,NULL,NULL,NULL,NULL
2,2,2,121_1,NULL,NULL,NULL,NULL,NULL
2,3,3,219_2,NULL,NULL,NULL,NULL,NULL
2,3,3,221_2,NULL,NULL,NULL,NULL,NULL
2,3,3,222_2,NULL,NULL,NULL,NULL,NULL
2,3,3,218_2,NULL,NULL,NULL,NULL,NULL
2,3,3,220_2,NULL,NULL,NULL,NULL,NULL
2,3,3,250_2,NULL,NULL,NULL,NULL,NULL
2,3,3,223_2,NULL,NULL,NULL,NULL,NULL
2,3,3,223_1,NULL,NULL,NULL,NULL,NULL
2,3,3,225_2,NULL,NULL,NULL,NULL,NULL
2,3,3,224_2,NULL,NULL,NULL,NULL,NULL
2,3,3,229_2,NULL,NULL,NULL,NULL,NULL
