building,floor,site,tile,tessellation_type,coord_a_x,coord_a_y,coord_b_x,coord_b_y,coord_c_x,coord_c_y,coord_d_x,coord_d_y
1,2,106_2,106_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,2,103_2,103_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,2,102_2,102_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,0,122_2,122_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,2,105_2,105_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,2,101_2,101_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,2,112_2,112_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,2,103_1,103_1_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,2,104_1,104_1_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,2,104_2,104_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,2,110_2,110_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,2,108_2,108_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,2,109_2,109_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,2,111_2,111_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,2,107_2,107_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,2,15_2,15_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,2,29_1,29_1_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,2,117_2,117_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,2,15_1,15_1_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,2,16_2,16_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,2,16_1,16_1_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,2,29_2,29_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,2,28_2,28_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,2,22_2,22_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,2,10_2,10_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,2,10_1,10_1_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,2,2_1,2_1_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,2,2_2,2_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,2,4_2,4_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,2,3_2,3_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,2,5_2,5_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,2,6_2,6_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,2,9_2,9_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,2,27_2,27_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,2,8_2,8_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,2,7_2,7_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,2,26_2,26_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,2,18_2,18_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,2,216_2,216_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,2,17_1,17_1_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,2,17_2,17_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,2,18_1,18_1_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,2,217_2,217_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,247_2,247_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,248_2,248_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,2,217_1,217_1_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,247_1,247_1_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,246_2,246_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,245_2,245_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,244_2,244_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,243_2,243_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,242_1,242_1_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,243_1,243_1_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,241_2,241_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,242_2,242_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,240_2,240_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,201_2,201_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,201_1,201_1_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,202_2,202_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,204_2,204_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,203_2,203_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,205_2,205_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,207_2,207_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,206_2,206_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,209_2,209_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,211_2,211_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,208_2,208_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,210_2,210_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,212_2,212_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,214_1,214_1_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,214_2,214_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,213_2,213_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,203_1,203_1_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,216_1,216_1_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,216_2,216_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,217_2,217_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,215_2,215_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,215_1,215_1_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,2,121_1,121_1_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,219_2,219_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,221_2,221_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,222_2,222_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,218_2,218_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,220_2,220_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,250_2,250_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,223_2,223_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,223_1,223_1_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,225_2,225_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,224_2,224_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,229_2,229_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,226_2,226_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,227_2,227_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,228_2,228_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,233_2,233_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,231_2,231_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,230_2,230_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,230_1,230_1_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,232_2,232_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,236_2,236_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,236_1,236_1_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,235_2,235_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,234_2,234_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,237_2,237_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,238_2,238_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,239_2,239_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,2,112_1,112_1_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,2,28_1,28_1_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,4,202_2,202_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,4,201_2,201_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,4,203_2,203_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,4,205_2,205_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,4,207_2,207_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,4,204_2,204_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,4,206_2,206_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,4,208_2,208_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,4,212_2,212_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,4,209_2,209_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,4,210_2,210_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,4,211_2,211_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,4,215_2,215_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,4,217_2,217_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,4,213_2,213_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,4,216_2,216_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,4,214_2,214_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,4,218_2,218_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,4,219_2,219_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,4,220_2,220_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,2,3_1,3_1_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,2,5_1,5_1_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,2,4_1,4_1_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,2,6_1,6_1_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,2,7_1,7_1_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,2,8_1,8_1_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,2,9_1,9_1_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,2,101_1,101_1_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,2,102_1,102_1_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,2,105_1,105_1_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,2,106_1,106_1_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,2,202_2,202_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,2,220_2,220_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,2,201_2,201_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,2,203_2,203_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,2,206_2,206_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,2,204_2,204_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,2,214_2,214_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,2,205_2,205_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,2,207_2,207_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,2,208_2,208_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,2,213_2,213_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,141_2,141_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,2,211_2,211_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,2,210_2,210_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,2,217_2,217_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,2,209_2,209_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,102_2,102_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,140_2,140_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,143_2,143_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,101_2,101_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,103_2,103_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,105_2,105_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,111_2,111_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,106_2,106_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,104_2,104_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,108_2,108_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,107_2,107_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,112_2,112_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,113_2,113_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,109_2,109_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,114_2,114_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,116_2,116_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,117_2,117_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,115_2,115_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,110_2,110_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,120_2,120_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,118_2,118_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,128_2,128_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,119_2,119_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,129_2,129_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,122_2,122_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,121_2,121_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,125_2,125_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,124_2,124_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,131_2,131_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,127_2,127_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,132_2,132_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,126_2,126_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,133_2,133_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,2,210_1,210_1_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,2,217_1,217_1_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,140_1,140_1_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,134_2,134_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,137_2,137_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,135_2,135_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,136_2,136_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,253_2,253_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,4,103_2,103_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,253_1,253_1_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,4,102_2,102_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,4,101_2,101_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,3,254_2,254_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,4,104_2,104_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,4,105_2,105_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,4,106_2,106_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,4,107_2,107_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,4,110_2,110_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,4,112_2,112_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,4,109_2,109_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,4,108_2,108_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,4,111_2,111_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,4,115_2,115_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,4,114_2,114_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,4,113_2,113_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,4,116_2,116_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,4,118_2,118_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,4,119_2,119_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,4,120_2,120_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,4,117_2,117_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,4,121_2,121_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,4,143_2,143_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,4,123_2,123_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,4,122_2,122_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,4,128_2,128_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,4,130_2,130_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,4,129_2,129_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,4,129_1,129_1_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,4,132_2,132_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,4,131_2,131_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,4,135_2,135_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,4,134_2,134_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,4,137_2,137_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,4,133_2,133_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,4,136_2,136_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,4,140_2,140_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,4,138_2,138_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,4,139_2,139_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,4,124_2,124_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,4,126_2,126_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,4,125_2,125_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,4,142_2,142_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,4,141_2,141_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,4,127_2,127_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,4,146_2,146_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,4,141_1,141_1_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,4,147_2,147_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,0,9_2,9_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,0,10_2,10_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,0,10_1,10_1_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,0,202_2,202_2_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,0,202_1,202_1_tile,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
