fingerprint_id,coord_x,coord_y,coord_z,building,floor,site,tile,user_id,device_id,epoch,set,is_radio_map,preceded_by,followed_by,notes
0,40.7871,31.0272,NULL,0,11,NULL,tile_439,1,1,NULL,training,True,NULL,NULL,NULL
1,40.7871,31.0272,NULL,0,11,NULL,tile_439,1,1,NULL,training,True,NULL,NULL,NULL
2,40.7871,31.0272,NULL,0,11,NULL,tile_439,1,1,NULL,training,True,NULL,NULL,NULL
3,39.4464,30.7985,NULL,0,11,NULL,tile_427,1,1,NULL,training,True,NULL,NULL,NULL
4,39.4464,30.7985,NULL,0,11,NULL,tile_427,1,1,NULL,training,True,NULL,NULL,NULL
5,39.3518,29.2449,NULL,0,11,NULL,tile_426,1,1,NULL,training,True,NULL,NULL,NULL
6,39.3518,29.2449,NULL,0,11,NULL,tile_426,1,1,NULL,training,True,NULL,NULL,NULL
7,39.3518,29.2449,NULL,0,11,NULL,tile_426,1,1,NULL,training,True,NULL,NULL,NULL
8,40.8107,28.4248,NULL,0,11,NULL,tile_440,1,1,NULL,training,True,NULL,NULL,NULL
9,40.8107,28.4248,NULL,0,11,NULL,tile_440,1,1,NULL,training,True,NULL,NULL,NULL
10,40.8107,28.4248,NULL,0,11,NULL,tile_440,1,1,NULL,training,True,NULL,NULL,NULL
11,41.4968,29.7181,NULL,0,11,NULL,tile_444,1,1,NULL,training,True,NULL,NULL,NULL
12,41.4968,29.7181,NULL,0,11,NULL,tile_444,1,1,NULL,training,True,NULL,NULL,NULL
13,41.4968,29.7181,NULL,0,11,NULL,tile_444,1,1,NULL,training,True,NULL,NULL,NULL
14,42.869,30.6408,NULL,0,11,NULL,tile_472,1,1,NULL,training,True,NULL,NULL,NULL
15,42.869,30.6408,NULL,0,11,NULL,tile_472,1,1,NULL,training,True,NULL,NULL,NULL
16,42.869,30.6408,NULL,0,11,NULL,tile_472,1,1,NULL,training,True,NULL,NULL,NULL
17,43.011,29.1345,NULL,0,11,NULL,tile_474,1,1,NULL,training,True,NULL,NULL,NULL
18,43.011,29.1345,NULL,0,11,NULL,tile_474,1,1,NULL,training,True,NULL,NULL,NULL
19,44.7648,26.5856,NULL,0,11,NULL,tile_489,1,1,NULL,training,True,NULL,NULL,NULL
20,44.7648,26.5856,NULL,0,11,NULL,tile_489,1,1,NULL,training,True,NULL,NULL,NULL
21,44.7648,26.5856,NULL,0,11,NULL,tile_489,1,1,NULL,training,True,NULL,NULL,NULL
22,44.6521,23.965,NULL,0,11,NULL,tile_487,1,1,NULL,training,True,NULL,NULL,NULL
23,44.6521,23.965,NULL,0,11,NULL,tile_487,1,1,NULL,training,True,NULL,NULL,NULL
