building,floor,site,tile,tessellation_type,coord_a_x,coord_a_y,coord_b_x,coord_b_y,coord_c_x,coord_c_y,coord_d_x,coord_d_y
0,11,NULL,tile_439,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,11,NULL,tile_427,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,11,NULL,tile_426,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,11,NULL,tile_440,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,11,NULL,tile_444,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,11,NULL,tile_472,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,11,NULL,tile_474,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,11,NULL,tile_489,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,11,NULL,tile_487,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,11,NULL,tile_488,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,11,NULL,tile_494,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,11,NULL,tile_451,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,11,NULL,tile_414,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,11,NULL,tile_363,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,11,NULL,tile_321,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,11,NULL,tile_288,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,11,NULL,tile_254,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,11,NULL,tile_223,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,11,NULL,tile_185,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,11,NULL,tile_169,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,11,NULL,tile_141,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,11,NULL,tile_139,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,11,NULL,tile_142,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,11,NULL,tile_102,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,11,NULL,tile_123,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,11,NULL,tile_91,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,11,NULL,tile_78,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,11,NULL,tile_117,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,11,NULL,tile_126,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,11,NULL,tile_108,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,11,NULL,tile_79,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,11,NULL,tile_35,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,11,NULL,tile_18,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,11,NULL,tile_33,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,11,NULL,tile_40,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,11,NULL,tile_37,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,11,NULL,tile_25,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,11,NULL,tile_20,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,11,NULL,tile_16,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,11,NULL,tile_11,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,11,NULL,tile_5,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,11,NULL,tile_14,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,11,NULL,tile_26,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,11,NULL,tile_42,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,11,NULL,tile_21,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,11,NULL,tile_22,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,11,NULL,tile_47,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,11,NULL,tile_60,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,11,NULL,tile_34,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,11,NULL,tile_189,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,11,NULL,tile_181,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,11,NULL,tile_193,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,11,NULL,tile_215,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,11,NULL,tile_255,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,11,NULL,tile_276,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,11,NULL,tile_305,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,11,NULL,tile_332,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0,11,NULL,tile_359,logical,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
